"filename", "language", "MATLAB", "comment", "blank", "total"
"c:\Users\lsfan\Documents\GitHub\FTN\AddCP.m", "MATLAB", 3, 0, 1, 4
"c:\Users\lsfan\Documents\GitHub\FTN\BitGen.m", "MATLAB", 6, 0, 1, 7
"c:\Users\lsfan\Documents\GitHub\FTN\ChannelEstimationByPreamble.m", "MATLAB", 19, 1, 7, 27
"c:\Users\lsfan\Documents\GitHub\FTN\Convenc.m", "MATLAB", 5, 0, 1, 6
"c:\Users\lsfan\Documents\GitHub\FTN\CreateOFDMPreamble.m", "MATLAB", 11, 0, 4, 15
"c:\Users\lsfan\Documents\GitHub\FTN\CreateOFDMSymbols.m", "MATLAB", 8, 7, 3, 18
"c:\Users\lsfan\Documents\GitHub\FTN\Deinterleave.m", "MATLAB", 7, 0, 2, 9
"c:\Users\lsfan\Documents\GitHub\FTN\DynamicQamdemod.m", "MATLAB", 14, 0, 4, 18
"c:\Users\lsfan\Documents\GitHub\FTN\DynamicQammod.m", "MATLAB", 41, 3, 10, 54
"c:\Users\lsfan\Documents\GitHub\FTN\DynamicQammodTobe.m", "MATLAB", 40, 0, 14, 54
"c:\Users\lsfan\Documents\GitHub\FTN\ErrorLocation.m", "MATLAB", 14, 6, 0, 20
"c:\Users\lsfan\Documents\GitHub\FTN\FFT.m", "MATLAB", 12, 0, 3, 15
"c:\Users\lsfan\Documents\GitHub\FTN\GrayQAMCoder.m", "MATLAB", 17, 6, 3, 26
"c:\Users\lsfan\Documents\GitHub\FTN\GrayQAMDecoder.m", "MATLAB", 9, 6, 2, 17
"c:\Users\lsfan\Documents\GitHub\FTN\IFFT.m", "MATLAB", 10, 2, 1, 13
"c:\Users\lsfan\Documents\GitHub\FTN\InitOFDMParameters.m", "MATLAB", 39, 12, 12, 63
"c:\Users\lsfan\Documents\GitHub\FTN\Interleave.m", "MATLAB", 8, 0, 3, 11
"c:\Users\lsfan\Documents\GitHub\FTN\OFDMBigFrameGenerator.m", "MATLAB", 11, 6, 4, 21
"c:\Users\lsfan\Documents\GitHub\FTN\OFDMFrameGenerator.m", "MATLAB", 4, 6, 1, 11
"c:\Users\lsfan\Documents\GitHub\FTN\OFDMFrameReceiver.m", "MATLAB", 78, 23, 21, 122
"c:\Users\lsfan\Documents\GitHub\FTN\OFDM_test.m", "MATLAB", 44, 18, 14, 76
"c:\Users\lsfan\Documents\GitHub\FTN\Qamdemod.m", "MATLAB", 15, 1, 4, 20
"c:\Users\lsfan\Documents\GitHub\FTN\Qammod.m", "MATLAB", 12, 2, 2, 16
"c:\Users\lsfan\Documents\GitHub\FTN\SNRLocation.m", "MATLAB", 9, 15, 3, 27
"c:\Users\lsfan\Documents\GitHub\FTN\Vitdec.m", "MATLAB", 8, 2, 1, 11
"c:\Users\lsfan\Documents\GitHub\FTN\addnoise.m", "MATLAB", 5, 7, 0, 12
"c:\Users\lsfan\Documents\GitHub\FTN\bits_alloc_position_sum.m", "MATLAB", 11, 7, 5, 23
"c:\Users\lsfan\Documents\GitHub\FTN\chow_algo_all.m", "MATLAB", 42, 23, 8, 73
"c:\Users\lsfan\Documents\GitHub\FTN\iteration.m", "MATLAB", 86, 10, 20, 116
"c:\Users\lsfan\Documents\GitHub\FTN\iteration_alloc.m", "MATLAB", 76, 17, 24, 117
"Total", "-", 664, 180, 178, 1022
